P1Type,P1Size,P2Type,P2Size,RABiT,piet,Result
Stack,5,Stack,5,0.0,0.03666666666666667,True
Stack,10,Stack,10,0.005208333333333333,0.21,True
Stack,15,Stack,15,0.015625,0.6266666666666666,True
Stack,20,Stack,20,0.026041666666666668,1.5200000000000002,True
Stack,25,Stack,25,0.10416667333333333,3.4599999999999995,True
Stack,30,Stack,30,0.14583332,6.32,True
Stack,35,Stack,35,0.21354167333333332,10.896666666666668,True
Stack,40,Stack,40,0.1875,13.590000000000002,True
Stack,45,Stack,45,0.21354165000000003,19.64,True
Stack,50,Stack,50,0.5520833333333334,28.313333333333333,True
FLW,5,FLW,5,0.005208333333333333,0.03,True
FLW,10,FLW,10,0.005208333333333333,0.3433333333333333,True
FLW,15,FLW,15,0.057291666666666664,1.5700000000000003,True
FLW,20,FLW,20,0.09375,5.246666666666666,True
FLW,25,FLW,25,0.12499999333333334,14.056666666666667,True
FLW,30,FLW,30,0.390625,30.0,True
FLW,35,FLW,35,0.640625,30.0,True
FLW,40,FLW,40,1.140625,30.0,True
FLW,45,FLW,45,1.9270833333333333,30.0,True
FLW,50,FLW,50,2.8229167333333334,30.0,True
Stack,5,Stack,6,0.005208333333333333,0.0,False
Stack,10,Stack,11,0.010416666666666666,0.016666666666666666,False
Stack,15,Stack,16,0.015625,0.03,False
Stack,20,Stack,21,0.041666666666666664,0.07,False
Stack,25,Stack,26,0.08333333333333333,0.12666666666666668,False
Stack,30,Stack,31,0.14583332666666668,0.4533333333333333,False
Stack,35,Stack,36,0.14062499333333334,3.15,False
Stack,40,Stack,41,0.2604166666666667,4.05,False
Stack,45,Stack,46,0.3697916766666667,8.06,False
Stack,50,Stack,51,0.546875,11.376666666666667,False
FLW,5,FLW,6,0.0,0.01,False
FLW,10,FLW,11,0.020833333333333332,0.08666666666666667,False
FLW,15,FLW,16,0.057291666666666664,0.38999999999999996,False
FLW,20,FLW,21,0.09375,1.2566666666666668,False
FLW,25,FLW,26,0.203125,10.82,False
FLW,30,FLW,31,0.4114583333333333,30.0,False
FLW,35,FLW,36,0.6770833533333334,30.0,False
FLW,40,FLW,41,1.25,30.0,False
FLW,45,FLW,46,2.0885416666666665,30.0,False
FLW,50,FLW,51,3.265625,30.0,False
