TestCode,RA,States,Transitions,Memo,Exception,Generator,Result
Test_01_B,100,101,5150,21416.6666666666678793,30000.0000000000000000,15.6250000000000000,{True}
Test_01_B,200,201,20300,30000.0000000000000000,30000.0000000000000000,62.5000000000000000,{True}
Test_01_B,300,301,45450,30000.0000000000000000,30000.0000000000000000,119.7916666666666714,{True}
Test_01_B,400,401,80600,30000.0000000000000000,30000.0000000000000000,239.5833333333333428,{True}
Test_01_B,500,501,125750,30000.0000000000000000,30000.0000000000000000,427.0833333333333144,{True}
Test_01_B,600,601,180900,30000.0000000000000000,30000.0000000000000000,671.8750000000000000,{True}
Test_01_B,700,701,246050,30000.0000000000000000,30000.0000000000000000,989.5833333333333712,{True}
Test_01_B,800,801,321200,30000.0000000000000000,30000.0000000000000000,1395.8333333333332575,{True}
Test_01_B,900,901,406350,30000.0000000000000000,30000.0000000000000000,1895.8333333333332575,{True}
Test_01_B,1000,1001,501500,30000.0000000000000000,30000.0000000000000000,2598.9583333333334849,{True}
